text,char,flags,length,unk
[M:CUD],0xc0d2,0x0000,0x0000,0x0000
[M:CUL],0xc0d3,0x0000,0x0000,0x0000
[M:CUR],0xc0d4,0x0000,0x0000,0x0000
[M:SPACE],0xc0d5,0x0000,0x0000,0x0000
[M:SPACEG],0xc0d6,0x0000,0x0000,0x0000
[M:VHS],0xc0d7,0x0000,0x0000,0x0000
[M:VZS],0xc0d8,0x0000,0x0000,0x0000
[M:V0],0xc0d9,0x0000,0x0000,0x0000
[M:V1],0xc0da,0x0000,0x0000,0x0000
[M:V2],0xc0db,0x0000,0x0000,0x0000
[M:V3],0xc0dc,0x0000,0x0000,0x0000
[M:V4],0xc0dd,0x0000,0x0000,0x0000
[M:V5],0xc0de,0x0000,0x0000,0x0000
[M:V6],0xc0df,0x0000,0x0000,0x0000
[M:V7],0xc0e0,0x0000,0x0000,0x0000
[M:V8],0xc0e1,0x0000,0x0000,0x0000
[M:V9],0xc0e2,0x0000,0x0000,0x0000
[M:VSL],0xc0e3,0x0000,0x0000,0x0000
[M:VCRS],0xc0e4,0x0000,0x0000,0x0000
[M:VPL],0xc0e5,0x0000,0x0000,0x0000
[M:VMN],0xc0e6,0x0000,0x0000,0x0000
[M:VPR],0xc0e7,0x0000,0x0000,0x0000
[M:VCN],0xc0e8,0x0000,0x0000,0x0000
[M:VAS],0xc0e9,0x0000,0x0000,0x0000
[M:VLV],0xc0ea,0x0000,0x0000,0x0000
[M:VHP],0xc0eb,0x0000,0x0000,0x0000
[M:VPP],0xc0ec,0x0000,0x0000,0x0000
[M:VCLN],0xc0ed,0x0000,0x0000,0x0000
[M:VBRS],0xc0ee,0x0000,0x0000,0x0000
[M:VBRE],0xc0ef,0x0000,0x0000,0x0000
[M:NBK1],0xc0f0,0x0000,0x0000,0x0000
[M:NBK2],0xc0f1,0x0000,0x0000,0x0000
[M:NBK3],0xc0f2,0x0000,0x0000,0x0000
[M:NBK4],0xc0f3,0x0000,0x0000,0x0000
[M:F01],0xc0f4,0x0000,0x0000,0x0000
[M:F02],0xc0f5,0x0000,0x0000,0x0000
[M:F03],0xc0f6,0x0000,0x0000,0x0000
[M:F04],0xc0f7,0x0000,0x0000,0x0000
[M:F05],0xc0f8,0x0000,0x0000,0x0000
[M:Q03],0xc0f9,0x0000,0x0000,0x0000
[M:Q04],0xc0fa,0x0000,0x0000,0x0000
[M:DLCD],0xc0fb,0x0000,0x0000,0x0000
[M:HKSTONE],0xc0fc,0x0000,0x0000,0x0000
[M:KARI],0xc0fd,0x0000,0x0000,0x0000
[M:UNUSED],0xc0fe,0x0000,0x0000,0x0000
[M:DEBUG],0xc0ff,0x0000,0x0000,0x0000
