text,char,flags,length,unk
[M:WE11],0xa0a6,0x0000,0x0000,0x0010
[M:WE12],0xa0a7,0x0000,0x0000,0x0010
[M:WE13],0xa0a8,0x0000,0x0000,0x0010
[M:WE14],0xa0a9,0x0000,0x0000,0x0010
[M:WE15],0xa0aa,0x0000,0x0000,0x0010
[M:B12],0xa0ab,0x0000,0x0000,0x0010
[M:B13],0xa0ac,0x0000,0x0000,0x0010
[M:B14],0xa0ad,0x0000,0x0000,0x0010
[M:B19],0xa0ae,0x0000,0x0000,0x0010
[M:B20],0xa0af,0x0000,0x0000,0x0010
[M:B21],0xa0b0,0x0000,0x0000,0x0010
[M:B22],0xa0b1,0x0000,0x0000,0x0010
[M:B24],0xa0b2,0x0000,0x0000,0x0010
[M:WE16],0xa0b3,0x0000,0x0000,0x0010
[M:WE17],0xa0b4,0x0000,0x0000,0x0010
[M:WE18],0xa0b5,0x0000,0x0000,0x0010
[M:WE19],0xa0b6,0x0000,0x0000,0x0010
[M:WE20],0xa0b7,0x0000,0x0000,0x0010
[M:WE21],0xa0b8,0x0000,0x0000,0x0010
[M:WE22],0xa0b9,0x0000,0x0000,0x0010
[M:WE23],0xa0ba,0x0000,0x0000,0x0010
[M:B09],0xa0bb,0x0000,0x0000,0x0010
[M:B10],0xa0bc,0x0000,0x0000,0x0010
[M:B11],0xa0bd,0x0000,0x0000,0x0010
[M:B15],0xa0be,0x0000,0x0000,0x0010
[M:B16],0xa0bf,0x0000,0x0000,0x0010
[M:B17],0xa0c0,0x0000,0x0000,0x0010
[M:B18],0xa0c1,0x0000,0x0000,0x0010
[M:REFIN],0xa0c2,0x0000,0x0000,0x0010
[M:WC09],0xa0c3,0x0000,0x0000,0x0010
[M:QDSTAR],0xa0c4,0x0000,0x0000,0x0010
[M:WN],0xa0c5,0x0000,0x0000,0x0010
[M:WE],0xa0c6,0x0000,0x0000,0x0010
[M:WS],0xa0c7,0x0000,0x0000,0x0010
[M:Q05],0xa0c8,0x0000,0x0000,0x0010
[M:Q00],0xa0c9,0x0000,0x0000,0x0010
[M:Q06],0xa0ca,0x0000,0x0000,0x0010
[M:Q01],0xa0cb,0x0000,0x0000,0x0010
[M:OP00],0xa0cc,0x0000,0x0000,0x0010
[M:OP01],0xa0cd,0x0000,0x0000,0x0010
[M:OP02],0xa0ce,0x0000,0x0000,0x0010
[M:OP03],0xa0cf,0x0000,0x0000,0x0010
[M:MYCHARA],0xa0d0,0x0000,0x0000,0x0010
[M:B25],0xa0d1,0x0000,0x0000,0x0010
[M:EPLAY],0xa0d2,0x0000,0x0000,0x0010
[M:EPAUSE],0xa0d3,0x0000,0x0000,0x0010
[M:CUU],0xa0d4,0x0000,0x0000,0x0010
[M:CUD],0xa0d5,0x0000,0x0000,0x0010
[M:CUL],0xa0d6,0x0000,0x0000,0x0008
[M:CUR],0xa0d7,0x0000,0x0000,0x0008
[M:SPACE],0xa0d8,0x0000,0x0000,0x0010
[M:SPACEG],0xa0d9,0x0000,0x0000,0x0010
[M:OP00ACT],0xa0da,0x0000,0x0000,0x0010
[M:OP01ACT],0xa0db,0x0000,0x0000,0x0010
[M:OP02ACT],0xa0dc,0x0000,0x0000,0x0010
[M:OP03ACT],0xa0dd,0x0000,0x0000,0x0010
[M:IDL41],0xa0de,0x0000,0x0000,0x0010
[M:IDL51],0xa0df,0x0000,0x0000,0x0010
[M:IDL61],0xa0e0,0x0000,0x0000,0x0010
[M:VHS],0xa0e1,0x0000,0x0000,0x0004
[M:VZS],0xa0e2,0x0000,0x0000,0x0008
[M:V0],0xa0e3,0x0000,0x0000,0x0008
[M:V1],0xa0e4,0x0000,0x0000,0x0008
[M:V2],0xa0e5,0x0000,0x0000,0x0008
[M:V3],0xa0e6,0x0000,0x0000,0x0008
[M:V4],0xa0e7,0x0000,0x0000,0x0008
[M:V5],0xa0e8,0x0000,0x0000,0x0008
[M:V6],0xa0e9,0x0000,0x0000,0x0008
[M:V7],0xa0ea,0x0000,0x0000,0x0008
[M:V8],0xa0eb,0x0000,0x0000,0x0008
[M:V9],0xa0ec,0x0000,0x0000,0x0008
[M:VSL],0xa0ed,0x0000,0x0000,0x0008
[M:VCRS],0xa0ee,0x0000,0x0000,0x0008
[M:VPL],0xa0ef,0x0000,0x0000,0x0008
[M:VMN],0xa0f0,0x0000,0x0000,0x0008
[M:VPR],0xa0f1,0x0000,0x0000,0x0008
[M:VCN],0xa0f2,0x0000,0x0000,0x0004
[M:VAS],0xa0f3,0x0000,0x0000,0x0004
[M:VLV],0xa0f4,0x0000,0x0000,0x0010
[M:VHP],0xa0f5,0x0000,0x0000,0x0010
[M:VPP],0xa0f6,0x0000,0x0000,0x0010
[M:VCLN],0xa0f7,0x0000,0x0000,0x0008
[M:VBRS],0xa0f8,0x0000,0x0000,0x0008
[M:VBRE],0xa0f9,0x0000,0x0000,0x0008
[M:NBK1],0xa0fa,0x0000,0x0000,0x0008
[M:NBK2],0xa0fb,0x0000,0x0000,0x0008
[M:NBK3],0xa0fc,0x0000,0x0000,0x0008
[M:NBK4],0xa0fd,0x0000,0x0000,0x0004
[M:WAKU2],0xa0fe,0x0000,0x0000,0x0010
[M:I1306],0xa0ff,0x0000,0x0000,0x0010
[M:I1307],0xa100,0x0000,0x0000,0x0010
[M:I1308],0xa101,0x0000,0x0000,0x0010
[M:STICKET],0xa102,0x0000,0x0000,0x0010
[M:WAZABIG],0xa103,0x0000,0x0000,0x0010
[M:WAKU1],0xa104,0x0000,0x0000,0x0010
[M:PRESENT],0xa105,0x0000,0x0000,0x0010
[M:WZMAX],0xa106,0x0000,0x0000,0x0010
[M:Q04],0xa107,0x0000,0x0000,0x0010
[M:KUBOMI],0xa108,0x0000,0x0000,0x0010
[M:DLCD],0xa109,0x0000,0x0000,0x0010
[M:RECOMMEN],0xa10a,0x0000,0x0000,0x0010
[M:KARI],0xa10b,0x0000,0x0000,0x0010
[M:UNUSED],0xa10c,0x0000,0x0000,0x0010
[M:DEBUG],0xa10d,0x0000,0x0000,0x0010
[M:I1001P_R],0xa10e,0x0000,0x0000,0x0010
[M:I1001S_R],0xa10f,0x0000,0x0000,0x0010
[M:I0101_R],0xa110,0x0000,0x0000,0x0010
[M:I0104_R],0xa111,0x0000,0x0000,0x0010
